tris.date,mVTris,TTris
20210621,-55.4,24
20210621,-54.9,24.5
20210621,-54.2,25
20210621,-53.9,25.5
20210621,-52.9,26
20210621,-52.2,26.5
20210621,-51.8,27
20210621,-51.1,27.5
20210621,-50.4,28
20210621,-49.8,28.5
20210621,-49.1,29
20210623,-68.3,24
20210623,-65.8,24.5
20210623,-65.3,25
20210623,-65.1,25.5
20210623,-64.8,26
20210623,-64.4,26.5
20210623,-64.1,27
20210623,-63.1,27.5
20210623,-62.8,28
20210623,-61.5,28.5
20210623,-60.8,29
20210625,-67.2,24
20210625,-66.7,24.5
20210625,-66,25
20210625,-65.4,25.5
20210625,-64.9,26
20210625,-64.1,26.5
20210625,-63.5,27
20210625,-62.9,27.5
20210625,-62.3,28
20210625,-61.7,28.5
20210625,-61,29
20210715,-65.7,24
20210715,-65.5,24.5
20210715,-65.3,25
20210715,-65.1,25.5
20210715,-65,26
20210715,-64.9,26.5
20210715,-64.7,27
20210715,-64.6,27.5
20210715,-64.4,28
20210715,-64.3,28.5
20210715,-64.1,29
20210729,-64.6,24
20210729,-64.6,24.5
20210729,-64.5,25
20210729,-64.4,25.5
20210729,-64.1,26
20210729,-64,26.5
20210729,-63.9,27
20210729,-63.7,27.5
20210729,-63.3,28
20210729,-62.8,28.5
20210729,-62.6,29
20210816,-68.3,24
20210816,-68.1,24.5
20210816,-67.5,25
20210816,-66.8,25.5
20210816,-66.2,26
20210816,-65.5,26.5
20210816,-64.8,27
20210816,-64.2,27.5
20210816,-63.6,28
20210816,-62.9,28.5
20210816,-62.3,29
20220708,-58,25
20220708,-57.5,25.4
20220708,-57,25.8
20220708,-56.5,26.2
20220708,-56.3,26.6
20220708,-55.7,27
20220708,-55,27.4
20220708,-54.6,27.8
20220708,-54.2,28.2
20220708,-53.8,28.6
20220708,-53.4,29
20220726,-56.3,25
20220726,-55.9,25.4
20220726,-55.4,25.8
20220726,-55.1,26.2
20220726,-54.3,26.6
20220726,-53.9,27
20220726,-53.6,27.4
20220726,-53,27.8
20220726,-52.7,28.2
20220726,-52,28.6
20220726,-51.7,29
20220825,-65.3,25
20220825,-64.9,25.5
20220825,-64.6,26
20220825,-62.4,26.5
20220825,-62.9,27
20220825,-62.5,27.5
20220825,-61.9,28
20220825,-61,28.5
20220825,-60.5,29
20220830,-65,25
20220830,-64.5,25.5
20220830,-63.9,26
20220830,-63.3,26.5
20220830,-62.7,27
20220830,-62.1,27.5
20220830,-61.5,28
20220830,-60.8,28.5
20220830,-60.2,29
20220908,-64.4,25
20220908,-64,25.5
20220908,-63.5,26
20220908,-63,26.5
20220908,-62.4,27
20220908,-61.9,27.5
20220908,-61.3,28
20220908,-60.7,28.5
20220908,-60.1,29
20220914,-65.1,25
20220914,-64.4,25.5
20220914,-63.8,26
20220914,-63.1,26.5
20220914,-62.6,27
20220914,-62.1,27.5
20220914,-61.6,28
20220914,-60.8,28.5
20220914,-60.1,29
20220920,-63.5,25
20220920,-63.3,25.5
20220920,-63.1,26
20220920,-62.4,26.5
20220920,-61.7,27
20220920,-61.2,27.5
20220920,-60.7,28
20220920,-60,28.5
20220920,-59.5,29
20220928,-63.4,25
20220928,-62.9,25.5
20220928,-62.4,26
20220928,-61.7,26.5
20220928,-61.1,27
20220928,-60.5,27.5
20220928,-59.9,28
20220928,-58.4,28.5
20220928,-58.7,29
20221005,-61.8,25
20221005,-61.3,25.5
20221005,-60.8,26
20221005,-60.3,26.5
20221005,-59.8,27
20221005,-59.3,27.5
20221005,-58.8,28
20221005,-58.3,28.5
20221005,-57.7,29
20221012,-61.2,25
20221012,-60.7,25.5
20221012,-60.1,26
20221012,-59.6,26.5
20221012,-59,27
20221012,-58.4,27.5
20221012,-57.8,28
20221012,-57.3,28.5
20221012,-56.7,29
20221019,-60.1,25
20221019,-59.7,25.5
20221019,-59.2,26
20221019,-58.7,26.5
20221019,-58.1,27
20221019,-57.4,27.5
20221019,-56.8,28
20221019,-56.2,28.5
20221019,-55.6,29
20230515,-62,25
20230515,-61.5,25.5
20230515,-60.7,26
20230515,-60.2,26.5
20230515,-59.7,27
20230515,-59.1,27.5
20230515,-58.5,28
20230515,-58,28.5
20230515,-57,29
20230906,-61.5,21.12
20230906,-61.7,21.501
20230906,-61.1,22.016
20230906,-60.3,22.575
20230906,-60.1,23.06
20230906,-59.5,23.593
20230906,-58.7,24.018
20230906,-58.1,24.516
20230906,-57.7,25.048
20230906,-57,25.596
20230906,-56.2,26.016
20230906,-55.6,26.502
20230906,-54.9,27.08
20230906,-54.3,27.512
20230906,-54,28.113
20231109,-62.4,25
20231109,-61.7,25.501
20231109,-61.1,26.002
20231109,-60.6,26.447
20231109,-59.9,27.004
20231109,-59.3,27.507
20231109,-58.7,28.008
20231109,-58.1,28.435
20231109,-57.5,29.002
20231113,-62.4,25.078
20231113,-61.8,25.504
20231113,-61.2,26.004
20231113,-60.6,26.525
20231113,-60,27.007
20231113,-59.3,27.498
20231113,-58.7,28.002
20231113,-58,28.489
20231113,-57.4,28.995
20231129,-62.8,24.956
20231129,-62.3,25.456
20231129,-61.7,25.974
20231129,-61,26.461
20231129,-60.4,27.003
20231129,-59.9,27.433
20231129,-59.2,28.01
20231129,-58.6,28.458
20231129,-57.9,29
20231205,-61.9,24.987
20231205,-61.3,25.508
20231205,-60.7,26.079
20231205,-60.1,26.473
20231205,-59.5,27.002
20231205,-59,27.584
20231205,-58.3,28
20231205,-57.7,28.463
20231205,-57.1,29.003
20231220,-64.3,23.998
20231220,-63.8,24.498
20231220,-63.2,25.075
20231220,-62.6,25.518
20231220,-62.1,26.007
20231220,-61.5,26.482
20231220,-60.9,27.001
20231220,-60.2,27.489
20231220,-59.6,28
20231220,-59,28.496
20231220,-58.5,29.003
20240112,-64.8,24
20240112,-64.2,24.5
20240112,-63.6,25.003
20240112,-63,25.5
20240112,-62.6,26.003
20240112,-61.8,26.502
20240112,-61.3,27.008
20240112,-60.7,27.498
20240112,-60.1,28.005
20240112,-59.4,28.503
20240112,-58.4,29.003
20240131,-64.7,24
20240131,-64,24.47
20240131,-63.7,25.03
20240131,-63,25.46
20240131,-62.4,25.98
20240131,-61.8,26.5
20240131,-61.2,26.99
20240131,-60.5,27.48
20240131,-59.9,28.01
20240131,-59.3,28.51
20240131,-58.7,28.96
20240212,-62.5,24.05
20240212,-61.8,24.5
20240212,-61.3,25
20240212,-60.7,25.53
20240212,-60.2,26.04
20240212,-59.7,26.36
20240212,-58.9,26.96
20240212,-58.2,27.52
20240212,-57.6,28.06
20240212,-57.1,28.47
20240212,-56.4,28.98
20240222,-63.9,21.3
20240222,-63.6,21.8
20240222,-63.2,22.3
20240222,-62.8,22.8
20240222,-62.4,23.3
20240222,-62,23.8
20240222,-61.6,24.3
20240222,-61.2,24.8
20240222,-60.8,25.3
20240222,-60.1,25.8
20240222,-59.8,26.3
20240222,-59.3,26.8
20240222,-58.9,27.3
20240222,-58.5,27.8
20240222,-57.9,28.3
20240222,-57.3,28.8
20240222,-57,29.3
20240304,-60.4,24.5
20240304,-59.6,25.04
20240304,-59.3,25.46
20240304,-58.6,25.97
20240304,-58,26.49
20240304,-57.2,27.01
20240304,-56.6,27.5
20240304,-56,28.04
20240304,-55.3,28.5
20240304,-55,29.01
20240304,-54.2,29.48
20240319,-61.9,21.19
20240319,-60.9,22.4
20240319,-60.0,23.1
20240319,-59.4,23.6
20240319,-58.8,24.22
20240319,-57.9,24.93
20240319,-57.2,25.69
20240319,-56.2,26.13
20240319,-55.8,26.71
20240319,-55.1,27.3
20240319,-54.4,27.91
20240319,-54.0,28.23
20240319,-53.4,28.74
20240319,-52.8,29.2
20240319,-52.2,29.76
20240423,-66.8,22.34
20240423,-66.4,23.38
20240423,-65.6,24.30
20240423,-64.4,25.33
20240423,-63.3,26.31
20240423,-62.1,27.32
20240423,-61.1,28.25
20240423,-59.8,29.31
20240423,-58.6,30.27
20240506,-67.4,21.8
20240506,-66.8,22.85
20240506,-65.8,23.82
20240506,-64.7,24.85
20240506,-63.6,25.83
20240506,-62.4,26.86
20240506,-61.3,27.8
20240506,-60.7,28.63
20240506,-59.2,29.79
20240522,-70.0,21.01
20240522,-69.1,22.12
20240522,-68.1,23.06
20240522,-67.0,24.04
20240522,-65.9,25.06
20240522,-64.8,26.06
20240522,-63.6,27.03
20240522,-62.4,28.02
20240522,-61.1,29.00
